"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"X12O.F_S66.Me",-79.8351653841884,57.4653001226695,-53.5599031728321,43.0898954262386,-11.1565018966095,34.9063694990727,1.72173077767662,-18.7411470036494,-11.7134665312379,52.1217946837906,-105.124149078825,87.1024637122701,-102.329082192037,-110.689083209872,77.2890043803029,2.98922858631425,45.7561749906142,36.1188818414839,36.1511536026728,-40.4245796548731,-50.820274866307,-110.530804536529,-254.731927142353,60.2010556080586,107.742719957116,46.7179929299293,69.5815945388173,-99.7153150129,40.7104941542893,-5.61752683089134,-0.0928051801042457,2.73986948756758,1.52552711524004,1.05933241010713,4.74306214416427,-2.9127795913451,-0.514628479206361,0.234435766960123,-2.86414741839087,-2.39080118007683e-12
"X14B.G_S25.Me",-55.6756338321806,27.3731121414574,-57.2283105884514,17.7880974862372,-1.02373322934623,32.8814451011286,8.52298418126808,23.8123441743628,-18.8169353165938,35.6801919032754,-57.5503814047548,82.4666581221948,-94.9974769926017,-110.042816383867,132.694217476869,-100.320547494216,19.9860141545992,-18.3901911728229,204.023391379946,-59.582435276287,121.446948516753,129.11048593782,84.1708811841594,-77.5780914137918,-116.345824036936,-84.1951871657773,56.8504950661879,-25.4432414815227,14.5705257909585,-0.212496759664902,2.52614622831274,6.31123856525115,-0.706372817294662,-0.455571552193657,-2.18905632567696,-6.89444642439158,-1.57356446483646,-0.476373956597566,-1.98519127407536,4.00895062860427e-12
"X15G.F_S52.Me",-104.833273242635,37.9235262578582,-49.7619096190263,18.3745980028477,-73.3555249448537,75.9103692103473,-16.6030399341608,253.209242596041,-190.849101848783,56.8697211200442,115.289973889989,-68.8891324963123,55.9139776610076,6.21905103718401,-5.03786644122054,18.738250294082,-5.76821653139967,7.34238829321549,-6.81441250170869,-3.99610716247352,4.81358630299828,-2.29238112813134,-3.1750796789277,4.69493778020429,8.21794413462814,2.96803089947927,9.72049823854938,-26.0783203664706,19.466829513111,206.379927746449,-40.3080554760825,-16.8192833037054,16.327930492905,3.2594354802179,-6.22539528715225,-1.89635371484881,3.59707851968006,0.133685043358483,2.42785111120918,4.75622823460989e-13
"X15G.G_S24.Me",-110.932906739126,63.8614647232836,-44.3336163307303,14.2509559797858,-67.1322623517095,73.7893050618587,-37.5295885852101,252.884948449088,-161.925142384173,44.46299563894,73.7503459735023,-43.3189067216059,49.6586325215109,12.253842125921,4.14608024949741,-3.53345423099896,4.43217335930951,-19.8965857904043,-16.5391341879681,17.1278430374629,-7.92755141948163,-9.59587456728162,4.75843656925338,14.9500931914345,-3.85305480044159,8.35647948676359,-2.45656186595151,9.55092677671663,-14.3006806858364,-224.073274643954,43.2012977463961,11.3234277313816,-15.3828384772973,-3.38514937115384,7.9336182591428,2.9288402273143,-5.14566029732047,0.910873971628601,-2.95690252678151,2.91139318599545e-14
"X18W.G_S41.Me",88.6018634969124,-92.1864128719297,-62.3760318321726,34.8325017176724,-21.0764957279786,15.8781630532915,71.2273024725318,-96.5381990117619,-66.7180516271745,50.89778358719,322.639451498539,291.279996462292,-94.2017161368695,30.1784873910568,-1.3043206625267,22.499108231379,-22.6597383691462,-11.5779014325044,-47.0133040039275,-29.0390366616377,1.90249322705952,-3.11275386271037,1.26424005046051,-3.2301615434007,-9.71178959381105,33.8338580804249,-16.5724145391494,16.0331791553821,-5.3161784767205,-9.83208483106962,-3.9457197618481,-4.2261381237213,2.60559176169659,-3.64743711144944,-1.09325887266343,-0.3532337578932,1.28594653850009,1.68728531465708,1.24225070117424,-1.10209912485178e-12
"X21B.G_S7.Me",-60.6764870896553,47.3795043757486,-21.4458554499699,28.3663099165819,-33.8467211222388,24.7731914791744,-0.60188393799718,9.76347432461159,13.7263379611476,24.364420450167,-93.1390677209886,38.4283837232402,-34.1881167657552,1.2167205394297,37.151265823792,-38.5181407559082,-52.2871474130994,-15.3655289877002,2.09158252677937,8.68640184648516,-28.9924061234078,9.20870228617889,-51.2915687389818,-29.9210377510739,2.92453404332689,57.4840761823275,-124.312477322502,296.735850179046,139.05017687743,18.7040498586242,3.28909556636367,5.31843381742899,-2.61091871408773,1.95137631086592,3.50486791395629,-1.56873429868977,1.16846303854904,-1.55739236122718,0.381455368339963,-6.18454411489312e-13
"X29W.G_S76.Me",55.5239856621157,-22.8960339885391,-27.7750675898319,-0.118045214852579,-13.1318496959635,4.90581393439346,38.7844873399101,-33.0349172368468,5.90000665573682,1.42952812434253,19.8227012142131,-57.6258974323851,29.1367935200148,180.830446500691,99.7876725448477,-291.428471111011,112.425734449008,178.182023449371,-68.4165202895487,-4.72990800552979,16.2776236363008,-3.56866398515663,-26.7086957590234,-38.2747902244447,23.1753153582923,11.0244178976815,-28.9239130032097,-24.756361304392,-15.0890942555054,0.458840971809095,-2.32159522112459,1.08091075879364,1.29520041085709,-2.93347758975827,-0.191741226906309,-0.441432788332551,0.134751806467611,-1.3968796275382,-0.65050102728438,-4.24151545049684e-13
"X29Y.F_S74.Me",-50.3917398091945,68.3033333422339,48.9300765369154,10.50394152592,-42.1816413082342,-10.714882854218,18.8575026039718,89.5237491332974,301.760330473764,78.98662233087,95.3393976195383,-1.15673800984628,35.2755735379601,-12.38266146972,-2.86685998786648,13.9449422626503,8.13864830754593,13.1753544561166,5.67403381220918,2.45499035162925,-0.397947302102507,-2.40238567456603,-1.28173920814198,-3.45850606569971,-3.80009506736971,-1.28359583871726,5.49300356900513,-13.7570582867306,0.747099688900404,37.3559131169786,198.314115793422,-73.0137366679013,22.9097963112609,5.55625562938955,1.21545618849421,-4.5349438072182,7.03251645689757,4.11302630263962,1.7741407698065,-5.61072699802392e-13
"X29Y.G_S68.Me",-62.4517649700164,77.8641218214117,61.6693196283645,10.4448443555906,-31.2641304479829,-7.45973265841112,2.67645385738156,115.585403610399,324.72911132672,75.7239906771564,90.3448398720134,10.1492842481877,31.3910203718228,-10.9545768768192,1.45302526578097,9.32501895724585,12.5921318382134,-3.20191701659011,-4.1480280349348,7.13532548089732,-9.62999475665099,-3.613338840546,-0.443736862508093,-10.2236089895318,-6.28198917283091,-7.30666899384725,3.37951627854583,-7.99054315256878,-5.18052638265273,-27.9784997649623,-185.576002151888,68.4778384249277,-24.1906622763654,-4.4261854612593,0.618094582151139,1.91632082334024,-7.49706370149477,-1.63687150947324,-2.20655330989635,-1.93515722109877e-14
"X2B.G_S17.Me",79.2387507436574,-41.764811434137,-17.3436838120209,7.4936510358347,-28.4729254542298,14.6035644228311,59.054797539585,-96.2613029587773,-15.8231480895999,-3.98595861066224,59.1892309667485,-91.5845895378981,130.003131632331,-36.5334311717489,79.5490502096983,0.898185818417082,27.6104776581542,-136.980785492697,21.3881419358587,27.5092997464495,-161.105762080569,159.724596423602,-38.9087139765052,-150.385857922924,111.784720402073,57.1767444974346,120.963417030928,20.2834441489043,-11.3748658495635,-6.76220387031079,-3.23058494647251,-7.62576581656163,4.9395387212419,0.729440933236051,-1.96116830941645,-0.297174000605233,0.215685083977575,1.46907880612048,0.44992245508921,4.35904716727768e-13
