Sample,Overall Alignment rate (from slurm err file),Sequence pairs analysed,Unique best hit alignments,Mapping efficiency,No alignments,Did not map uniquely,Discarded pairs,CT/GA/CT( ((converted) top strand),GA/CT/CT(complementary to (converted) top strand),GA/CT/GA(complementary to (converted) bottom strand),CT/GA/GA((converted) bottom strand),Complementary strands rejected,Total Cs analysed,Methylated Cs CpG,Methylated Cs CHG,Methylated Cs CHH,Methylated Cs Unknown,Unmethylated Cs CpG,Unmethylated Cs CHG,Unmethylated Cs CHH,Unmethylated Cs Unknown,CpG methylation,CHG methylation,CHH methylation,Unknown context methylation,
12O-G_S22,56.99%,723128,203023,28.10%,226204,293901,0,101531,0,0,101492,0,5458478,137555,8818,17046,2422,1302516,1181496,2811047,10015,9.60%,0.70%,0.60%,19.50%,
14B-G_S25,66.07%,1082254,432385,40.00%,210478,439391,0,216158,0,0,216227,0,10928126,316818,19320,37988,4392,2395581,2284362,5874057,20968,11.70%,0.80%,0.60%,17.30%,
15G-G_S24,65.95%,387730,147738,38.10%,73185,166807,0,73882,0,0,73856,0,3815667,95812,6032,13147,951,832931,778556,2089189,6837,10.30%,0.80%,0.60%,12.20%,
15W-G_S12,64.66%,79456,26985,34.00%,28078,24393,0,26985,0,0,0,0,668843,20890,1450,3059,93,168397,140382,334665,1225,11.00%,1.00%,0.90%,7.10%,
160-G_S11,60.63%,163639,72442,44.30%,38243,52954,0,36378,0,0,36064,0,1664736,41217,2944,7743,403,333337,334286,945209,2779,11.00%,0.90%,0.80%,12.70%,
16O-G_S62,65.78%,494497,203540,41.20%,100025,190932,0,101419,0,0,102121,0,5006719,169964,9323,18027,2485,1167214,1087827,2554364,9360,12.70%,0.80%,0.70%,21.00%,
18W-G_S41,51.12%,794448,247872,31.20%,302941,243635,0,123421,0,0,124451,0,6133386,228422,24531,62217,4044,1361836,1313501,3142879,14095,14.40%,1.80%,1.90%,22.30%,
20G-G_S29,69.12%,1068988,402971,37.70%,171315,494702,0,200580,0,0,202391,0,10765191,262383,17090,33774,3415,2531779,2294722,5625443,17249,9.40%,0.70%,0.60%,16.50%,
21B-G_S7,65.32%,1928523,736750,38.20%,406108,785665,0,369249,0,0,367501,0,19194836,454346,28597,58179,6769,4382401,4020376,10250937,32943,9.40%,0.70%,0.60%,17.00%,
28W-G_S47,63.08%,150201,59005,39.30%,32302,58894,0,29430,0,0,29575,0,1422828,33524,3144,7927,650,319240,299177,759816,2955,9.50%,1.00%,1.00%,18.00%,
29W-G_S76,56.28%,776697,259578,33.40%,241257,275862,0,129778,0,0,129800,0,6519356,184726,11422,22950,3320,1495419,1407003,3397836,13067,11.00%,0.80%,0.70%,20.30%,
29Y-G_S68,64.77%,375610,147302,39.20%,73658,154650,0,73864,0,0,73438,0,3704524,78750,5698,11854,1183,842926,769891,1995405,6925,8.50%,0.70%,0.60%,14.60%,
2B-G_S17,65.82%,1244019,496816,39.90%,257032,490171,0,248343,0,0,248473,0,12556742,358895,20506,41097,5827,2967999,2733392,6434853,23289,10.80%,0.70%,0.60%,20.00%,
38B-G_S78,62.46%,78241,22723,29.00%,29375,26143,0,22723,0,0,0,0,594577,15464,1390,2814,127,158215,124576,292118,1235,8.90%,1.10%,1.00%,9.30%,
40Y-G_S63,69.56%,841205,276373,32.90%,144303,420529,0,138642,0,0,137731,0,7693985,144537,11457,22533,2966,1882051,1669895,3963512,14624,7.10%,0.70%,0.60%,16.90%,
45G-G_S69,68.18%,1136018,435184,38.30%,207016,493818,0,217545,0,0,217639,0,11342188,334763,21775,42907,4717,2623806,2430437,5888500,20345,11.30%,0.90%,0.70%,18.80%,
47W-G_S80,63.02%,964619,318253,33.00%,214183,432183,0,158300,0,0,159953,0,8160610,257570,16237,32659,3798,1841395,1728702,4284047,15846,12.30%,0.90%,0.80%,19.30%,
50B-G_S83,65.19%,1405756,554045,39.40%,283834,567877,0,276545,0,0,277500,0,13911957,392638,25978,52723,7598,3238785,2994480,7207353,27706,10.80%,0.90%,0.70%,21.50%,
50G-G_S33,67.48%,891437,323380,36.30%,172235,395822,0,161635,0,0,161745,0,8664817,221372,13217,26133,2552,2000335,1811570,4592190,13807,10.00%,0.70%,0.60%,15.60%,
51B-G_S18,65.01%,1313983,476736,36.30%,276525,560722,0,238343,0,0,238393,0,12290217,354723,21178,41836,6125,2904999,2662959,6304522,23932,10.90%,0.80%,0.70%,20.40%,
55B-G_S40,59.32%,1170268,433363,37.00%,315172,421733,0,217268,0,0,216095,0,10723671,290371,20028,41891,6148,2349097,2260098,5762186,22742,11.00%,0.90%,0.70%,21.30%,
55Y-G_S10,65.67%,398377,143740,36.10%,80852,173785,0,72169,0,0,71571,0,3805501,88391,5523,10550,1274,878145,802532,2020360,6885,9.10%,0.70%,0.50%,15.60%,
56Y-G_S53,65.89%,754999,254882,33.80%,153792,346325,0,126993,0,0,127889,0,6780192,165474,10663,20296,2807,1557643,1432558,3593558,13840,9.60%,0.70%,0.60%,16.90%,
60G-G_S58,61.41%,186221,74203,39.80%,45045,66973,0,36967,0,0,37236,0,1808000,64191,6003,14464,693,373556,368620,981166,3574,14.70%,1.60%,1.50%,16.20%,
61W-G_S5,57.93%,288513,99070,34.30%,85214,104229,0,49468,0,0,49602,0,2510670,78111,5910,13836,1700,583406,545773,1283634,5641,11.80%,1.10%,1.10%,23.20%,
63G-G_S35,63.87%,652451,253215,38.80%,135961,263275,0,126721,0,0,126494,0,6333864,198304,11826,23907,1766,1421913,1335585,3342329,10075,12.20%,0.90%,0.70%,14.90%,
67B-G_S8,63.60%,2323135,898064,38.70%,511997,913074,0,449097,0,0,448967,0,22605951,632597,37243,73014,9341,5049280,4737528,12076289,41990,11.10%,0.80%,0.60%,18.20%,
67W-G_S86,64.08%,1107041,471169,42.60%,231219,404653,0,235941,0,0,235228,0,11747679,312362,17619,34987,3871,2612020,2434613,6336078,20625,10.70%,0.70%,0.50%,15.80%,
6W-G_S15,69.51%,318390,103404,32.50%,49544,165442,0,51681,0,0,51723,0,2773269,73223,5135,10515,1035,673350,605706,1405340,4755,9.80%,0.80%,0.70%,17.90%,
75Y-G_S9,66.28%,583084,228361,39.20%,102410,252313,0,114256,0,0,114105,0,5647882,202584,11912,24895,1722,1277161,1207460,2923870,9277,13.70%,1.00%,0.80%,15.70%,
76Y-G_S85,67.75%,582656,209986,36.00%,113260,259410,0,104853,0,0,105133,0,5693665,141308,9808,18060,2811,1371462,1248638,2904389,11250,9.30%,0.80%,0.60%,20.00%,
90W-G_S67,65.77%,384113,128277,33.40%,74156,181680,0,63975,0,0,64302,0,3267834,95227,5929,12440,1674,787286,714970,1651982,6450,10.80%,0.80%,0.70%,20.60%,
91W-G_S1,67.76%,278953,94931,34.00%,46207,137815,0,47520,0,0,47411,0,2481219,74663,4626,9633,787,595069,538152,1259076,4292,11.10%,0.90%,0.80%,15.50%,
9W-G_S48,65.56%,280156,108523,38.70%,57090,114543,0,54202,0,0,54321,0,2743073,93805,7089,15124,1336,650815,599943,1376297,4918,12.60%,1.20%,1.10%,21.40%,
EL3-G_S44,64.98%,513200,184244,35.90%,104407,224549,0,92045,0,0,92199,0,4693595,141760,9622,19068,1807,1104370,1008158,2410617,8293,11.40%,0.90%,0.80%,17.90%,
ELB14-G_S37,68.96%,498062,184596,37.10%,78167,235299,0,92654,0,0,91942,0,4747475,126619,9611,20303,1417,1134596,1016046,2440300,7752,10.00%,0.90%,0.80%,15.50%,
ELB1-G_S56,69.21%,470018,179864,38.30%,75261,214893,0,89370,0,0,90494,0,4656423,127778,9457,19730,1534,1115697,998281,2385480,7598,10.30%,0.90%,0.80%,16.80%,
ELB2-G_S59,69.04%,377165,145355,38.50%,54798,177012,0,72614,0,0,72741,0,3677838,112701,6569,13836,1030,875090,790856,1878786,5706,11.40%,0.80%,0.70%,15.30%,
ELB6-G_S60,69.50%,238547,80909,33.90%,38731,118907,0,40330,0,0,40579,0,2100487,68490,4283,8596,1001,504246,461567,1053305,3914,12.00%,0.90%,0.80%,20.40%,
ELB9-G_S73,65.73%,1870679,705957,37.70%,377037,787685,0,352683,0,0,353274,0,18103918,461983,27216,55721,7615,4142997,3826107,9589894,34314,10.00%,0.70%,0.60%,18.20%,
PLB14-G_S16,67.34%,126331,44305,35.10%,23666,58360,0,22154,0,0,22151,0,1129537,40655,3238,6859,678,269111,247770,561904,2211,13.10%,1.30%,1.20%,23.50%,
PLB15-G_S3,68.36%,1288865,490127,38.00%,206340,592398,0,245248,0,0,244879,0,12592913,315469,19891,38266,3565,2788997,2591595,6838695,20767,10.20%,0.80%,0.60%,14.70%,
PLB1-G_S77,65.84%,526714,183062,34.80%,108974,234678,0,90760,0,0,92302,0,4793986,142130,10025,21401,2016,1146155,1040306,2433969,8658,11.00%,1.00%,0.90%,18.90%,
PLB2-G_S39,66.53%,671886,245693,36.60%,123268,302925,0,121893,0,0,123800,0,6338499,181485,11132,22997,2721,1460079,1361921,3300885,12088,11.10%,0.80%,0.70%,18.40%,
PLB4-G_S36,66.06%,579795,208088,35.90%,114441,257266,0,104243,0,0,103845,0,5404920,135757,11469,25120,3327,1280118,1172124,2780332,11600,9.60%,1.00%,0.90%,22.30%,
PLB6-G_S87,63.01%,43771,15235,34.80%,10626,17910,0,7579,0,0,7656,0,386261,12254,818,1590,220,91329,85196,195074,750,11.80%,1.00%,0.80%,22.70%,
PLB7-G_S55,64.59%,424121,158459,37.40%,86367,179295,0,79543,0,0,78916,0,4042376,102069,7749,16625,1877,972274,869467,2074192,7591,9.50%,0.90%,0.80%,19.80%,
