LOC127699201	GO:0000977;GO:0000987;GO:0003700;GO:0006355;GO:0006366;GO:0043231
LOC127699240	GO:0006810;GO:0009987;GO:0015291;GO:0030001;GO:0110165
LOC127699252	GO:0005737;GO:0008104;GO:0015031;GO:0030674;GO:0046907;GO:0098796
LOC127699265	GO:0006950;GO:0016209;GO:0016684;GO:0046906
LOC127699297	GO:0005488
LOC127699369	GO:0004197;GO:0005622;GO:0006915;GO:0009987;GO:0012501;GO:0019538;GO:0110165
LOC127699657	GO:0006796;GO:0007154;GO:0009987;GO:0016311;GO:0019637;GO:0023052;GO:0030258;GO:0044255;GO:0050794;GO:0051716
LOC127699683	GO:0005488;GO:0043231
LOC127699759	GO:0005576;GO:0048018;GO:0110165
LOC127699821	GO:0005267;GO:0006813;GO:0022843;GO:0034705;GO:0051259;GO:0098655;GO:0098662;GO:0098797;GO:0110165
LOC127699827	GO:0003729;GO:0006955;GO:0098542
LOC127699841	GO:0005737;GO:0012505;GO:0043231
LOC127699853	GO:0000977;GO:0000987;GO:0006355;GO:0006366;GO:0140110
LOC127699909	GO:0005622;GO:0016459;GO:0017022;GO:0046872;GO:0110165
LOC127699935	GO:0005488;GO:0006355;GO:0006366
LOC127699987	GO:0005488;GO:0044238;GO:0071704
LOC127699990	GO:0005543;GO:0005622;GO:0046872;GO:0110165
LOC127700008	GO:0004721;GO:0016311;GO:0036211
LOC127700015	GO:0004721;GO:0016311;GO:0036211
LOC127700018	GO:0003008;GO:0005231;GO:0006811;GO:0007154;GO:0009987;GO:0023052;GO:0030054;GO:0038023;GO:0050794;GO:0051716;GO:0055085;GO:0065008;GO:0097060;GO:0098794;GO:0098916;GO:0099094;GO:0120025;GO:1904315
LOC127700020	GO:0005261;GO:0005488;GO:0009581;GO:0009582;GO:0009612;GO:0015085;GO:0110165
LOC127700030	GO:0004866
LOC127700032	GO:0004866
LOC127700039	GO:0004721;GO:0016311;GO:0036211
LOC127700044	GO:0008104;GO:0015031;GO:0022607;GO:0030863;GO:0043005;GO:0045202;GO:0046907;GO:0051020;GO:0099054;GO:0110165
LOC127700051	GO:0003779;GO:0005856;GO:0016020;GO:0022607;GO:0044877;GO:0061572;GO:0071944
LOC127700053	GO:0007165;GO:0098988;GO:0110165
LOC127700054	GO:0005488
LOC127700060	GO:0003676;GO:0006325;GO:0043231;GO:0140993
LOC127700068	GO:0003824;GO:0043169;GO:0097159;GO:1901363
LOC127700085	GO:0005216;GO:0006812;GO:0008324;GO:0034220;GO:0110165
LOC127700153	GO:0006308;GO:0016889;GO:0030262
LOC127700167	GO:0005764;GO:0006508;GO:0098562;GO:0098588;GO:0098852
LOC127700191	GO:0005737;GO:0016765;GO:0042579;GO:0043231;GO:0071704
LOC127700200	GO:0005576;GO:0110165
LOC127700210	GO:0005488;GO:0007154;GO:0009987;GO:0023052;GO:0043231;GO:0050794;GO:0051716
LOC127700211	GO:0005488;GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716
LOC127700224	GO:0016798;GO:0044238;GO:0071704
LOC127700226	GO:0007165;GO:0007188;GO:0009152;GO:0009190;GO:0009975;GO:0016020;GO:0016849;GO:0071944
LOC127700229	GO:0005737;GO:0012505;GO:0015081;GO:0030001;GO:0043231;GO:0051139;GO:0055080;GO:0098655;GO:0098662;GO:0110165
LOC127700231	GO:0046914
LOC127700237	GO:0006605;GO:0006839;GO:0007005;GO:0031966;GO:0031968;GO:0048285;GO:0072655
LOC127700238	GO:0006605;GO:0006839;GO:0007005;GO:0031966;GO:0031968;GO:0048285;GO:0072655
LOC127700250	GO:0005488
LOC127700253	GO:0000977;GO:0000987;GO:0003700;GO:0006351;GO:0006355;GO:0006366;GO:0043231;GO:0045165;GO:0048869;GO:1902680
LOC127700340	GO:0005488
LOC127700341	GO:0004866;GO:0005576;GO:0006509;GO:0010466;GO:0019899;GO:0030312;GO:0031330;GO:0042177;GO:0042221;GO:0045861;GO:0051043;GO:0052548;GO:0110165
LOC127700383	GO:0005515;GO:0009968;GO:0016020;GO:0016055;GO:0071944
LOC127700395	GO:0005488;GO:0006898;GO:0016020;GO:0046907;GO:0055092;GO:0071944
LOC127700404	GO:0043232
